Order ID,Order Date,Region,State,Product Category,Sub-Category,Sales,Profit,Quantity,Customer Segment
ORD-770487,2022-08-17,North,Delhi,Electronics,Phones,123031.93,29105.32,3,Consumer
ORD-329258,2024-05-09,East,West Bengal,Office Supplies,Paper,2635.28,652.26,3,Home Office
ORD-452944,2022-07-29,South,Kerala,Furniture,Chairs,59188.07,16035.18,4,Corporate
ORD-969693,2022-05-23,North,Punjab,Office Supplies,Scissors & Cutters,421.2,114.52,1,Consumer
ORD-766563,2024-01-18,North,Himachal Pradesh,Electronics,Printers,42410.9,-2457.52,3,Home Office
ORD-771088,2022-04-25,South,Kerala,Furniture,Chairs,23744.01,7307.17,1,Home Office
ORD-429963,2024-07-28,South,Telangana,Furniture,Sofas,66682.63,-4624.55,2,Corporate
ORD-214975,2022-11-10,West,Madhya Pradesh,Furniture,Storage,25821.08,10327.33,2,Home Office
ORD-112038,2023-11-28,North,Haryana,Electronics,Printers,57737.61,11637.59,6,Consumer
ORD-769987,2024-11-05,South,Karnataka,Furniture,Sofas,150000,-8444.71,6,Home Office
ORD-945964,2023-09-22,North,Rajasthan,Office Supplies,Binders,10160.23,4295.13,4,Consumer
ORD-791798,2022-12-05,West,Madhya Pradesh,Office Supplies,Envelopes,3940.13,1049.62,4,Consumer
ORD-804314,2024-11-25,North,Uttar Pradesh,Electronics,Cameras,71740.95,9161.59,3,Consumer
ORD-132938,2023-11-08,North,Himachal Pradesh,Furniture,Sofas,51482.45,5565.41,1,Corporate
ORD-946721,2024-04-13,South,Andhra Pradesh,Electronics,Accessories,7561.68,1265.2,2,Consumer
ORD-522179,2023-11-26,South,Karnataka,Electronics,Accessories,1417.69,99.01,1,Home Office
ORD-179046,2022-07-20,Central,Chhattisgarh,Office Supplies,Scissors & Cutters,2497.87,498.94,5,Consumer
ORD-497382,2024-07-20,West,Madhya Pradesh,Electronics,Tablets,13637.53,2386.55,1,Corporate
ORD-163918,2023-10-05,East,Assam,Office Supplies,Envelopes,1174.73,336.22,1,Consumer
ORD-225710,2024-12-06,North,Himachal Pradesh,Office Supplies,Paper,573.08,185.64,1,Consumer
ORD-888387,2022-05-29,East,Assam,Office Supplies,Binders,3529.42,-112.89,2,Consumer
ORD-559469,2024-12-19,West,Goa,Office Supplies,Binders,5951.38,2211.54,7,Corporate
ORD-385577,2023-12-04,East,Bihar,Furniture,Bookcases,96388.97,-7653.35,6,Corporate
ORD-374680,2022-11-27,East,Jharkhand,Furniture,Chairs,25469.38,4934.55,1,Corporate
ORD-710805,2022-10-31,South,Kerala,Office Supplies,Scissors & Cutters,3298.9,706.88,9,Corporate
ORD-526117,2022-11-13,North,Delhi,Office Supplies,Scissors & Cutters,816.14,144.47,1,Home Office
ORD-920391,2023-05-24,West,Maharashtra,Electronics,Phones,81150.24,17536.39,5,Consumer
ORD-933980,2023-04-12,East,Jharkhand,Electronics,Phones,146621.0,4519.26,8,Home Office
ORD-662262,2023-11-10,South,Kerala,Electronics,Tablets,30192.39,5538.43,1,Home Office
ORD-221263,2023-01-25,West,Maharashtra,Furniture,Sofas,142831.57,9507.34,3,Consumer
ORD-552248,2023-11-08,East,West Bengal,Office Supplies,Pens & Stationery,2238.33,651.07,2,Corporate
ORD-497562,2022-12-23,North,Rajasthan,Office Supplies,Pens & Stationery,824.87,205.25,1,Corporate
ORD-587575,2024-06-23,South,Andhra Pradesh,Office Supplies,Scissors & Cutters,4362.48,1173.99,4,Corporate
ORD-197923,2022-10-29,North,Haryana,Furniture,Chairs,48874.94,14685.85,2,Corporate
ORD-502630,2024-10-09,South,Tamil Nadu,Office Supplies,Scissors & Cutters,1820.77,699.97,4,Corporate
ORD-152657,2022-09-06,West,Goa,Office Supplies,Labels,4568.3,2055.74,3,Corporate
ORD-970914,2024-08-30,West,Goa,Office Supplies,Envelopes,878.49,142.68,2,Consumer
ORD-452161,2022-06-15,North,Himachal Pradesh,Electronics,Laptops,51493.96,9869.43,1,Consumer
ORD-316881,2024-05-10,West,Maharashtra,Office Supplies,Scissors & Cutters,2617.13,950.19,3,Consumer
ORD-976325,2023-07-13,South,Kerala,Furniture,Storage,41620.23,6670.83,4,Home Office
ORD-752483,2024-12-29,North,Rajasthan,Furniture,Chairs,19199.72,4977.31,3,Consumer
ORD-442722,2023-11-23,North,Haryana,Electronics,Phones,71985.85,13624.66,2,Home Office
ORD-335113,2023-05-22,South,Karnataka,Electronics,Accessories,9113.59,2723.15,3,Corporate
ORD-275939,2023-10-01,Central,Uttarakhand,Electronics,Printers,15610.9,3380.45,1,Consumer
ORD-817497,2022-03-26,North,Punjab,Electronics,Printers,35487.27,5024.52,2,Corporate
ORD-968962,2024-06-10,East,Bihar,Furniture,Sofas,114379.8,9156.25,4,Consumer
ORD-357420,2022-06-27,North,Haryana,Furniture,Storage,13886.13,1846.79,2,Consumer
ORD-370902,2023-11-29,East,Bihar,Furniture,Sofas,104121.62,16211.94,7,Corporate
ORD-614663,2022-07-10,North,Delhi,Electronics,Cameras,45887.54,-687.74,2,Corporate
ORD-468900,2024-07-18,North,Uttar Pradesh,Office Supplies,Pens & Stationery,896.62,403.48,1,Corporate
ORD-294143,2023-01-28,North,Himachal Pradesh,Furniture,Sofas,147661.28,24847.29,3,Consumer
ORD-842411,2024-12-29,South,Tamil Nadu,Furniture,Tables,95490.33,-4624.97,3,Consumer
ORD-457256,2024-09-05,South,Andhra Pradesh,Electronics,Printers,21827.72,-978.3,3,Corporate
ORD-536390,2024-06-25,East,Jharkhand,Electronics,Cameras,33922.94,-2667.92,1,Corporate
ORD-377501,2022-06-16,South,Tamil Nadu,Electronics,Accessories,6344.3,1643.93,2,Corporate
ORD-837135,2024-07-18,North,Punjab,Office Supplies,Storage Boxes,10117.49,3046.5,3,Consumer
ORD-220351,2022-05-27,West,Goa,Furniture,Storage,26992.01,7509.42,3,Consumer
ORD-184349,2023-10-23,South,Karnataka,Office Supplies,Scissors & Cutters,5038.37,1313.91,5,Corporate
ORD-961322,2022-12-25,East,Bihar,Electronics,Cameras,68686.25,2300.16,2,Consumer
ORD-268637,2023-11-07,North,Himachal Pradesh,Office Supplies,Scissors & Cutters,1394.32,418.79,4,Consumer
ORD-221552,2024-08-04,South,Kerala,Furniture,Storage,28799.72,6135.85,3,Home Office
ORD-559398,2024-09-19,Central,Jammu & Kashmir,Office Supplies,Storage Boxes,2562.68,798.84,1,Consumer
ORD-982277,2022-08-21,South,Karnataka,Furniture,Bookcases,15655.9,4191.92,2,Consumer
ORD-678043,2022-10-24,Central,Jammu & Kashmir,Office Supplies,Paper,4304.11,8.13,5,Home Office
ORD-632401,2023-12-08,West,Madhya Pradesh,Furniture,Bookcases,91829.89,3966.47,5,Consumer
ORD-433632,2022-11-08,South,Telangana,Office Supplies,Pens & Stationery,7123.57,3205.61,5,Corporate
ORD-579123,2022-11-13,West,Goa,Electronics,Printers,13021.06,1234.22,2,Corporate
ORD-896290,2022-07-05,South,Tamil Nadu,Furniture,Bookcases,27863.24,1842.93,6,Corporate
ORD-407618,2022-10-26,North,Himachal Pradesh,Office Supplies,Paper,1412.81,263.79,1,Corporate
ORD-343467,2024-07-30,South,Andhra Pradesh,Office Supplies,Storage Boxes,2072.72,348.81,2,Home Office
ORD-716113,2024-09-16,North,Punjab,Furniture,Bookcases,15620.53,2138.57,1,Home Office
ORD-916118,2024-10-14,Central,Chhattisgarh,Furniture,Bookcases,6912.29,837.85,1,Corporate
ORD-813928,2022-10-08,Central,Jammu & Kashmir,Electronics,Accessories,2184.1,644.29,1,Consumer
ORD-924718,2023-11-25,North,Uttar Pradesh,Electronics,Laptops,150000,16009.62,5,Corporate
ORD-483542,2022-01-29,South,Kerala,Furniture,Bookcases,46541.53,8826.51,3,Consumer
ORD-126240,2023-11-03,North,Uttar Pradesh,Furniture,Storage,31976.79,5147.03,6,Consumer
ORD-139019,2022-08-26,West,Gujarat,Electronics,Tablets,98423.77,24470.89,3,Corporate
ORD-262029,2023-07-27,North,Haryana,Furniture,Tables,42387.06,5816.97,5,Corporate
ORD-776149,2024-01-05,North,Uttar Pradesh,Office Supplies,Scissors & Cutters,2190.64,475.65,2,Consumer
ORD-925013,2023-11-15,South,Telangana,Electronics,Cameras,15634.96,940.4,1,Consumer
ORD-254721,2022-01-06,Central,Chhattisgarh,Furniture,Tables,35325.68,6568.95,1,Consumer
ORD-378258,2022-04-18,North,Uttar Pradesh,Office Supplies,Labels,1830.93,641.75,2,Corporate
ORD-573962,2024-10-28,East,Assam,Electronics,Printers,50697.36,-884.73,8,Consumer
ORD-737846,2022-10-31,North,Himachal Pradesh,Furniture,Bookcases,25820.76,5566.37,2,Corporate
ORD-551096,2023-04-13,West,Madhya Pradesh,Furniture,Chairs,19751.04,3829.93,2,Corporate
ORD-597305,2022-05-18,South,Andhra Pradesh,Electronics,Printers,13903.46,-1608.11,2,Corporate
ORD-802559,2022-09-08,West,Madhya Pradesh,Office Supplies,Storage Boxes,1720.41,422.69,1,Corporate
ORD-262246,2024-09-14,South,Telangana,Electronics,Tablets,103806.6,20613.09,3,Corporate
ORD-904711,2023-07-02,North,Punjab,Office Supplies,Pens & Stationery,1330.82,360.6,1,Consumer
ORD-763928,2022-03-04,East,Jharkhand,Furniture,Bookcases,8362.92,762.94,1,Home Office
ORD-725185,2022-11-15,East,West Bengal,Electronics,Printers,29965.04,-2128.7,2,Corporate
ORD-652530,2023-09-24,North,Rajasthan,Electronics,Laptops,77460.42,-3528.47,2,Consumer
ORD-108105,2024-10-15,South,Andhra Pradesh,Furniture,Tables,76598.52,-1675.53,2,Home Office
ORD-428267,2024-05-05,North,Punjab,Electronics,Cameras,53238.94,10894.53,2,Consumer
ORD-557925,2022-08-05,East,Assam,Electronics,Tablets,72816.07,10179.83,4,Corporate
ORD-303322,2023-12-17,Central,Jammu & Kashmir,Office Supplies,Paper,754.28,123.43,1,Corporate
ORD-179013,2024-10-08,East,Assam,Furniture,Sofas,150000,27387.86,3,Corporate
ORD-935012,2023-12-22,North,Haryana,Electronics,Tablets,79913.2,11375.7,5,Home Office
ORD-744883,2024-11-04,East,West Bengal,Furniture,Sofas,73476.24,-8075.97,3,Corporate
ORD-629057,2022-12-20,West,Madhya Pradesh,Furniture,Sofas,25971.28,4498.81,1,Consumer
ORD-726928,2023-11-17,South,Andhra Pradesh,Electronics,Printers,106129.95,16272.6,5,Home Office
ORD-425301,2024-03-13,West,Maharashtra,Electronics,Accessories,5934.43,1820.29,3,Consumer
ORD-836971,2024-12-14,East,Assam,Electronics,Tablets,81226.1,11314.3,2,Consumer
ORD-410160,2024-12-14,North,Rajasthan,Electronics,Accessories,1450.35,308.97,1,Corporate
ORD-273580,2024-06-15,North,Himachal Pradesh,Electronics,Accessories,11657.28,3232.71,3,Consumer
ORD-947903,2024-06-21,North,Haryana,Furniture,Storage,81351.3,6008.66,8,Consumer
ORD-362147,2024-11-22,North,Delhi,Electronics,Cameras,22624.28,3400.8,1,Consumer
ORD-127965,2024-04-29,East,Odisha,Electronics,Phones,18085.88,4164.79,2,Corporate
ORD-781533,2023-11-18,South,Kerala,Office Supplies,Labels,1778.0,526.67,3,Consumer
ORD-368355,2024-12-16,West,Gujarat,Electronics,Phones,34597.19,6317.63,1,Consumer
ORD-977330,2024-10-20,South,Telangana,Furniture,Tables,5322.26,678.43,1,Corporate
ORD-478120,2024-11-05,East,West Bengal,Electronics,Accessories,2366.45,525.04,1,Consumer
ORD-170841,2023-12-08,East,West Bengal,Office Supplies,Storage Boxes,5166.99,844.18,4,Corporate
ORD-829168,2022-10-04,West,Madhya Pradesh,Electronics,Laptops,38204.19,9836.76,1,Corporate
ORD-955015,2024-08-27,West,Gujarat,Electronics,Phones,101406.07,23766.74,5,Home Office
ORD-879414,2024-03-02,South,Andhra Pradesh,Electronics,Cameras,10230.51,2025.79,1,Consumer
ORD-551524,2023-10-20,North,Punjab,Electronics,Cameras,53326.79,702.24,4,Home Office
ORD-744718,2024-06-09,Central,Chhattisgarh,Electronics,Printers,25392.58,3479.52,2,Consumer
ORD-989894,2024-06-16,South,Kerala,Electronics,Cameras,12142.83,859.12,1,Consumer
ORD-180620,2022-10-09,North,Himachal Pradesh,Electronics,Phones,16039.68,3028.92,1,Home Office
ORD-223481,2024-07-02,East,Jharkhand,Electronics,Laptops,150000,-13228.94,5,Consumer
ORD-464301,2022-11-19,Central,Jammu & Kashmir,Electronics,Tablets,31724.72,2328.05,2,Corporate
ORD-127560,2022-06-26,North,Himachal Pradesh,Office Supplies,Envelopes,1218.87,278.02,2,Consumer
ORD-177767,2024-07-10,East,Odisha,Office Supplies,Scissors & Cutters,3016.03,739.61,3,Consumer
ORD-627290,2024-11-27,South,Kerala,Office Supplies,Paper,4309.06,1156.77,2,Corporate
ORD-677599,2023-07-17,North,Rajasthan,Electronics,Printers,19124.1,-1642.25,1,Corporate
ORD-734534,2023-11-23,East,West Bengal,Electronics,Printers,37013.9,-4030.8,4,Corporate
ORD-416768,2024-09-16,West,Madhya Pradesh,Electronics,Phones,41546.93,5458.98,3,Consumer
ORD-587002,2023-02-22,South,Kerala,Office Supplies,Scissors & Cutters,1556.92,467.77,2,Consumer
ORD-353480,2024-08-13,North,Delhi,Electronics,Tablets,150000,3965.18,7,Home Office
ORD-267457,2023-11-02,West,Gujarat,Office Supplies,Labels,12377.87,3013.43,10,Consumer
